date,campaign,channel,impressions,clicks,cost,conversions,revenue
2024-01-01,봄_신상품_런칭,네이버_검색,45200,1356,405600,54,2160000
2024-01-01,봄_신상품_런칭,카카오_디스플레이,32100,643,128200,19,760000
2024-01-01,봄_신상품_런칭,구글_검색,28900,867,260100,31,1240000
2024-01-02,봄_신상품_런칭,네이버_검색,47800,1434,430200,61,2440000
2024-01-02,봄_신상품_런칭,카카오_디스플레이,29500,590,118000,17,680000
2024-01-02,봄_신상품_런칭,구글_검색,31200,936,280800,36,1440000
2024-01-03,봄_신상품_런칭,네이버_검색,52300,1569,470700,68,2720000
2024-01-03,봄_신상품_런칭,카카오_디스플레이,35600,712,142400,22,880000
2024-01-03,봄_신상품_런칭,구글_검색,33400,1002,300600,39,1560000
2024-01-07,리마케팅_캠페인,네이버_검색,18900,756,226800,47,1880000
2024-01-07,리마케팅_캠페인,카카오_디스플레이,24600,984,196800,52,2080000
2024-01-07,리마케팅_캠페인,구글_GDN,41200,824,164800,38,1520000
2024-01-08,리마케팅_캠페인,네이버_검색,21300,852,255600,55,2200000
2024-01-08,리마케팅_캠페인,카카오_디스플레이,26800,1072,214400,59,2360000
2024-01-08,리마케팅_캠페인,구글_GDN,38900,778,155600,34,1360000
2024-01-09,리마케팅_캠페인,네이버_검색,19700,788,236400,48,1920000
2024-01-09,리마케팅_캠페인,카카오_디스플레이,23100,924,184800,46,1840000
2024-01-09,리마케팅_캠페인,구글_GDN,36500,730,146000,31,1240000
2024-01-14,설날_프로모션,네이버_검색,68900,2067,620100,104,4160000
2024-01-14,설날_프로모션,카카오_디스플레이,54300,1086,217200,68,2720000
2024-01-14,설날_프로모션,구글_검색,47200,1416,424800,78,3120000
2024-01-15,설날_프로모션,네이버_검색,72400,2172,651600,112,4480000
2024-01-15,설날_프로모션,카카오_디스플레이,58100,1162,232400,74,2960000
2024-01-15,설날_프로모션,구글_검색,51600,1548,464400,85,3400000
2024-01-16,설날_프로모션,네이버_검색,69300,2079,623700,108,4320000
2024-01-16,설날_프로모션,카카오_디스플레이,55700,1114,222800,71,2840000
2024-01-16,설날_프로모션,구글_검색,49800,1494,448200,82,3280000
2024-02-01,브랜드_인지도,네이버_브랜드검색,89200,1784,535200,42,1680000
2024-02-01,브랜드_인지도,카카오_배너,103400,1034,206800,28,1120000
2024-02-01,브랜드_인지도,구글_GDN,78600,1572,314400,35,1400000
2024-02-05,브랜드_인지도,네이버_브랜드검색,91500,1830,549000,45,1800000
2024-02-05,브랜드_인지도,카카오_배너,98700,987,197400,26,1040000
2024-02-05,브랜드_인지도,구글_GDN,82300,1646,329200,38,1520000
2024-02-12,신규고객_확보,네이버_검색,63400,1902,570600,72,2880000
2024-02-12,신규고객_확보,카카오_디스플레이,49800,996,199200,41,1640000
2024-02-12,신규고객_확보,구글_검색,55100,1653,495900,68,2720000
2024-02-13,신규고객_확보,네이버_검색,67200,2016,604800,79,3160000
2024-02-13,신규고객_확보,카카오_디스플레이,52300,1046,209200,44,1760000
2024-02-13,신규고객_확보,구글_검색,58400,1752,525600,73,2920000
2024-03-01,봄_시즌_오픈,네이버_검색,71300,2139,641700,98,3920000
2024-03-01,봄_시즌_오픈,카카오_디스플레이,61200,1224,244800,58,2320000
2024-03-01,봄_시즌_오픈,구글_검색,64500,1935,580500,87,3480000
2024-03-08,봄_시즌_오픈,네이버_검색,74800,2244,673200,105,4200000
2024-03-08,봄_시즌_오픈,카카오_디스플레이,63700,1274,254800,61,2440000
2024-03-08,봄_시즌_오픈,구글_검색,67200,2016,604800,91,3640000
2024-03-15,봄_시즌_오픈,네이버_검색,78200,2346,703800,112,4480000
2024-03-15,봄_시즌_오픈,카카오_디스플레이,65400,1308,261600,64,2560000
2024-03-15,봄_시즌_오픈,구글_검색,69800,2094,628200,95,3800000
